cell_id,area_m2,elev_mean,slope_mean,dist_water_m,building_density,hist_event_score,elev_norm,slope_norm,water_norm,imperv_norm,event_norm,score_0_1,score_0_10,classe,chuva_proxy,classe_ia,risco_previsto
10974,160000.0,,,10757.70628508882,0.0,0.0,0.0,0.0,0.5401190206492235,0.0,0.0,0.1350297551623058,1.35,Baixa,7,Baixa,Baixa
10975,160000.0,,,10713.224315343869,0.0,0.0,0.0,0.0,0.5420205795194555,0.0,0.0,0.1355051448798638,1.36,Baixa,7,Baixa,Baixa
10976,160000.0,,,10683.543697926762,0.0,0.0,0.0,0.0,0.5432893956633238,0.0,0.0,0.1358223489158309,1.36,Baixa,7,Baixa,Baixa
10977,160000.0,,,10668.787965844396,0.0,0.0,0.0,0.0,0.5439201881706895,0.0,0.0,0.1359800470426724,1.36,Baixa,7,Baixa,Baixa
10978,160000.0,,,10669.01904463488,0.0,0.0,0.0,0.0,0.5439103097879137,0.0,0.0,0.1359775774469784,1.36,Baixa,7,Baixa,Baixa
10979,160000.0,,,10684.235961893452,0.0,0.0,0.0,0.0,0.5432598020843085,0.0,0.0,0.1358149505210771,1.36,Baixa,7,Baixa,Baixa
10980,160000.0,,,10570.022071820593,0.0,0.0,0.0,0.0,0.5481423294772504,0.0,0.0,0.1370355823693126,1.37,Baixa,7,Baixa,Baixa
10981,160000.0,,,10172.161936758956,0.0,0.0,0.0,0.0,0.5651504447490336,0.0,0.0,0.1412876111872584,1.41,Baixa,7,Baixa,Baixa
10982,160000.0,,,9774.47647378216,0.0,0.0,0.0,0.0,0.5821510929672169,0.0,0.0,0.1455377732418042,1.46,Baixa,7,Baixa,Baixa
10983,160000.0,,,9376.98790685976,0.0,0.0,0.0,0.0,0.599143324079753,0.0,0.0,0.1497858310199382,1.5,Baixa,7,Baixa,Baixa
10984,160000.0,,,8979.722382917382,0.0,0.0,0.0,0.0,0.6161260203322201,0.0,0.0,0.154031505083055,1.54,Baixa,7,Baixa,Baixa
10985,160000.0,,,8582.710873793936,0.0,0.0,0.0,0.0,0.6330978577100717,0.0,0.0,0.1582744644275179,1.58,Baixa,7,Baixa,Baixa
10986,160000.0,,,8185.990337889113,0.0,0.0,0.0,0.0,0.6500572562793894,0.0,0.0,0.1625143140698473,1.63,Baixa,7,Baixa,Baixa
10987,160000.0,,,7789.605232673036,0.0,0.0,0.0,0.0,0.6670023155286366,0.0,0.0,0.1667505788821591,1.67,Baixa,7,Baixa,Baixa
10988,160000.0,,,7393.60950752475,0.0,0.0,0.0,0.0,0.683930729176845,0.0,0.0,0.1709826822942112,1.71,Baixa,7,Baixa,Baixa
10989,160000.0,,,6998.069263635051,0.0,0.0,0.0,0.0,0.7008396714654788,0.0,0.0,0.1752099178663697,1.75,Baixa,7,Baixa,Baixa
10990,160000.0,,,6603.0663549223,0.0,0.0,0.0,0.0,0.7177256432229542,0.0,0.0,0.1794314108057385,1.79,Baixa,7,Baixa,Baixa
10991,160000.0,,,6208.703339376113,0.0,0.0,0.0,0.0,0.734584260199743,0.0,0.0,0.1836460650499357,1.84,Baixa,7,Baixa,Baixa
10992,160000.0,,,5815.110405250562,0.0,0.0,0.0,0.0,0.7514099569806726,0.0,0.0,0.1878524892451681,1.88,Baixa,7,Baixa,Baixa
10993,160000.0,,,5422.017572020744,0.0,0.0,0.0,0.0,0.7682142749580161,0.0,0.0,0.192053568739504,1.92,Baixa,7,Baixa,Baixa
10994,160000.0,,,5029.867607627814,0.0,0.0,0.0,0.0,0.7849782862535619,0.0,0.0,0.1962445715633904,1.96,Baixa,7,Baixa,Baixa
10995,160000.0,,,4639.058282585527,0.0,0.0,0.0,0.0,0.8016849865832576,0.0,0.0,0.2004212466458144,2.0,Baixa,7,Baixa,Baixa
10996,160000.0,,,4249.959452534484,0.0,0.0,0.0,0.0,0.8183185649954272,0.0,0.0,0.2045796412488568,2.05,Baixa,7,Baixa,Baixa
10997,160000.0,,,3863.0880066533614,0.0,0.0,0.0,0.0,0.8348569250044998,0.0,0.0,0.2087142312511249,2.09,Baixa,7,Baixa,Baixa
10998,160000.0,,,3479.187052475171,0.0,0.0,0.0,0.0,0.85126829952082,0.0,0.0,0.212817074880205,2.13,Baixa,7,Baixa,Baixa
10999,160000.0,,,3099.36060261995,0.0,0.0,0.0,0.0,0.8675054931300992,0.0,0.0,0.2168763732825248,2.17,Baixa,7,Baixa,Baixa
11000,160000.0,,,2725.3127791199545,0.0,0.0,0.0,0.0,0.8834956563523129,0.0,0.0,0.2208739140880782,2.21,Baixa,7,Baixa,Baixa
11001,160000.0,,,2359.7930720714394,0.0,0.0,0.0,0.0,0.8991212512881476,0.0,0.0,0.2247803128220369,2.25,Baixa,7,Baixa,Baixa
11002,160000.0,,,2007.4653028030623,0.0,0.0,0.0,0.0,0.9141829043292056,0.0,0.0,0.2285457260823013,2.29,Baixa,7,Baixa,Baixa
11003,160000.0,,,1676.6664966295534,0.0,0.0,0.0,0.0,0.928324216140442,0.0,0.0,0.2320810540351105,2.32,Baixa,7,Baixa,Baixa
11004,160000.0,,,1382.9331653705651,0.0,0.0,0.0,0.0,0.9408810166764991,0.0,0.0,0.2352202541691248,2.35,Baixa,7,Baixa,Baixa
11005,160000.0,,,1154.9016143566869,0.0,0.0,0.0,0.0,0.9506291330708364,0.0,0.0,0.2376572832677091,2.38,Baixa,7,Baixa,Baixa
11006,160000.0,,,1034.4281211415882,0.0,0.0,0.0,0.0,0.9557792521182736,0.0,0.0,0.2389448130295683,2.39,Baixa,7,Baixa,Baixa
11007,160000.0,,,1055.2176713292065,0.0,0.0,0.0,0.0,0.954890520036622,0.0,0.0,0.2387226300091554,2.39,Baixa,7,Baixa,Baixa
11008,160000.0,,,1212.934311970681,0.0,0.0,0.0,0.0,0.9481482943952088,0.0,0.0,0.2370370735988022,2.37,Baixa,7,Baixa,Baixa
11009,160000.0,,,1465.9246080293983,0.0,0.0,0.0,0.0,0.9373332170883492,0.0,0.0,0.2343333042720873,2.34,Baixa,7,Baixa,Baixa
11010,160000.0,,,1773.8828224255687,0.0,0.0,0.0,0.0,0.9241683172962876,0.0,0.0,0.2310420793240718,2.31,Baixa,7,Baixa,Baixa
11011,160000.0,,,2112.9092689859776,0.0,0.0,0.0,0.0,0.909675282244185,0.0,0.0,0.2274188205610462,2.27,Baixa,7,Baixa,Baixa
11012,160000.0,,,2470.2451073197603,0.0,0.0,0.0,0.0,0.8943995393548434,0.0,0.0,0.2235998848387108,2.24,Baixa,7,Baixa,Baixa
11013,160000.0,,,2838.985065390019,0.0,0.0,0.0,0.0,0.8786362819699338,0.0,0.0,0.2196590704924834,2.2,Baixa,7,Baixa,Baixa
11014,160000.0,,,3215.2078490788003,0.0,0.0,0.0,0.0,0.8625531414163856,0.0,0.0,0.2156382853540964,2.16,Baixa,7,Baixa,Baixa
11015,160000.0,,,3585.635108642852,0.0,0.0,0.0,0.0,0.846717753612327,0.0,0.0,0.2116794384030817,2.12,Baixa,7,Baixa,Baixa
