cell_id,area_m2,elev_mean,slope_mean,dist_water_m,building_density,hist_event_score,elev_norm,slope_norm,water_norm,imperv_norm,event_norm,score_0_1,score_0_10,classe
25710,160000.0,,,1347.7333049007332,0.0,0.0,0.0,0.0,0.9423857748356168,0.0,0.0,0.2355964437089042,2.36,Baixa
25711,160000.0,,,1480.918029958251,0.0,0.0,0.0,0.0,0.9366922635823014,0.0,0.0,0.23417306589557535,2.34,Baixa
25712,160000.0,,,1699.9562823120489,0.0,0.0,0.0,0.0,0.9273286015396436,0.0,0.0,0.2318321503849109,2.32,Baixa
25713,160000.0,,,1976.5081614020667,0.0,0.0,0.0,0.0,0.915506290572342,0.0,0.0,0.2288765726430855,2.29,Baixa
25714,160000.0,,,2289.829177560141,0.0,0.0,0.0,0.0,0.9021121364707676,0.0,0.0,0.2255280341176919,2.26,Baixa
25715,160000.0,,,2626.7947793313674,0.0,0.0,0.0,0.0,0.8877072004329739,0.0,0.0,0.22192680010824348,2.22,Baixa
25716,160000.0,,,2979.3932206137715,0.0,0.0,0.0,0.0,0.8726339764391873,0.0,0.0,0.21815849410979682,2.18,Baixa
25717,160000.0,,,3342.6811264845583,0.0,0.0,0.0,0.0,0.8571037887290317,0.0,0.0,0.21427594718225793,2.14,Baixa
25718,160000.0,,,3209.2840543813686,0.0,0.0,0.0,0.0,0.8628063776021239,0.0,0.0,0.21570159440053097,2.16,Baixa
25719,160000.0,,,2833.3598568395046,0.0,0.0,0.0,0.0,0.8788767539022126,0.0,0.0,0.21971918847555316,2.2,Baixa
25720,160000.0,,,2448.1344704644557,0.0,0.0,0.0,0.0,0.895344746545077,0.0,0.0,0.22383618663626925,2.24,Baixa
25721,160000.0,,,2068.525245822004,0.0,0.0,0.0,0.0,0.911572653997908,0.0,0.0,0.227893163499477,2.28,Baixa
25722,160000.0,,,1698.3023876005361,0.0,0.0,0.0,0.0,0.9273993038528986,0.0,0.0,0.23184982596322465,2.32,Baixa
25723,160000.0,,,1345.2380112293818,0.0,0.0,0.0,0.0,0.9424924460968446,0.0,0.0,0.23562311152421114,2.36,Baixa
25724,160000.0,,,972.4950519864619,0.0,0.0,0.0,0.0,0.9584268277019959,0.0,0.0,0.23960670692549899,2.4,Baixa
25725,160000.0,,,610.2888437131929,0.0,0.0,0.0,0.0,0.9739107739423322,0.0,0.0,0.24347769348558304,2.43,Baixa
25726,160000.0,,,296.3802025854406,0.0,0.0,0.0,0.0,0.9873300484124485,0.0,0.0,0.24683251210311213,2.47,Baixa
25727,160000.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,2.5,Baixa
25728,160000.0,,,321.26917469921455,0.0,0.0,0.0,0.0,0.9862660702216159,0.0,0.0,0.24656651755540399,2.47,Baixa
25729,160000.0,,,333.7182613955963,0.0,0.0,0.0,0.0,0.9857338844535503,0.0,0.0,0.24643347111338756,2.46,Baixa
25730,160000.0,,,179.77993172941459,0.0,0.0,0.0,0.0,0.9923145911516531,0.0,0.0,0.24807864778791328,2.48,Baixa
25731,160000.0,,,318.061741249904,0.0,0.0,0.0,0.0,0.9864031847325332,0.0,0.0,0.2466007961831333,2.47,Baixa
25732,160000.0,,,30.003671798634556,0.0,0.0,0.0,0.0,0.9987173736105809,0.0,0.0,0.24967934340264522,2.5,Baixa
25733,160000.0,,,81.15801226412177,0.0,0.0,0.0,0.0,0.9965305776925775,0.0,0.0,0.24913264442314437,2.49,Baixa
25734,160000.0,,,288.98281388891434,0.0,0.0,0.0,0.0,0.9876462792397497,0.0,0.0,0.24691156980993742,2.47,Baixa
25735,160000.0,,,36.24196274656039,0.0,0.0,0.0,0.0,0.998450693030671,0.0,0.0,0.24961267325766776,2.5,Baixa
25736,160000.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,2.5,Baixa
25737,119436.14681449288,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,2.5,Baixa
25763,157509.11582203643,,,177.6553533429592,0.0,0.0,0.0,0.0,0.9924054147122875,0.0,0.0,0.24810135367807187,2.48,Baixa
25764,160000.0,,,242.6332750592224,0.0,0.0,0.0,0.0,0.9896276747849134,0.0,0.0,0.24740691869622836,2.47,Baixa
25765,158381.8054173687,,,170.04613679188108,0.0,0.0,0.0,0.0,0.9927307009644741,0.0,0.0,0.24818267524111853,2.48,Baixa
25766,160000.0,,,444.6030600240697,0.0,0.0,0.0,0.0,0.9809936723268204,0.0,0.0,0.2452484180817051,2.45,Baixa
25767,160000.0,,,815.3239216032549,0.0,0.0,0.0,0.0,0.9651457333358563,0.0,0.0,0.24128643333396407,2.41,Baixa
25768,160000.0,,,1174.701489256296,0.0,0.0,0.0,0.0,0.9497827085990626,0.0,0.0,0.23744567714976564,2.37,Baixa
25769,160000.0,,,1541.136427264238,0.0,0.0,0.0,0.0,0.9341179884725229,0.0,0.0,0.23352949711813073,2.34,Baixa
25770,160000.0,,,1920.2658887497662,0.0,0.0,0.0,0.0,0.9179105904056721,0.0,0.0,0.22947764760141803,2.29,Baixa
25771,160000.0,,,2306.456303412462,0.0,0.0,0.0,0.0,0.901401343787075,0.0,0.0,0.22535033594676876,2.25,Baixa
25772,160000.0,,,2696.675782441454,0.0,0.0,0.0,0.0,0.8847198587732721,0.0,0.0,0.22117996469331802,2.21,Baixa
25773,160000.0,,,3089.397978840114,0.0,0.0,0.0,0.0,0.8679313851427046,0.0,0.0,0.21698284628567616,2.17,Baixa
25774,160000.0,,,3479.51359846371,0.0,0.0,0.0,0.0,0.8512543400126281,0.0,0.0,0.21281358500315703,2.13,Baixa
25775,160000.0,,,3867.946477231633,0.0,0.0,0.0,0.0,0.8346492303390691,0.0,0.0,0.20866230758476728,2.09,Baixa
25776,160000.0,,,4258.521459328733,0.0,0.0,0.0,0.0,0.8179525479314361,0.0,0.0,0.20448813698285903,2.04,Baixa
25777,160000.0,,,4650.698881716386,0.0,0.0,0.0,0.0,0.8011873628346013,0.0,0.0,0.20029684070865034,2.0,Baixa
